player_slug,name,elo,matches,elo_hard,matches_hard,elo_clay,matches_clay,elo_grass,matches_grass,elo_indoors,matches_indoors
/player/mchugh/,McHugh A.,1806.1,10,1616.5,4.0,1745.9,6.0,,,,
/player/chang-ddf68/,Chang A.,1806.0,20,1751.1,5.0,1578.1,9.0,1434.3,1.0,,
/player/quadre/,Quadre B.,1805.8,17,1717.7,13.0,,,,,,
/player/staeheli/,Staeheli L.,1805.7,47,1707.4,13.0,1720.1,34.0,,,,
/player/nicod/,Nicod J.,1805.4,27,1651.1,5.0,1706.1,19.0,1675.4,3.0,,
/player/curmi/,Curmi F.,1805.3,43,,,1794.3,42.0,,,1434.3,1.0
/player/dlimi/,Dlimi Y.,1805.1,27,1666.5,5.0,1742.5,21.0,,,,
/player/van-assche/,Van Assche L.,1805.0,40,1669.2,11.0,1818.0,29.0,,,,
/player/fonseca-57dc1/,Fonseca J.,1804.5,25,1646.1,6.0,1740.5,14.0,1542.7,4.0,,
/player/giaccio/,Giaccio J.,1803.8,19,1796.7,9.0,1650.4,10.0,,,,
/player/grammatikopoulou/,Grammatikopoulou V.,1803.4,35,1520.8,6.0,1826.4,26.0,,,,
